HQ01,HQ02,HQ03,HQ04,HQ05,HQ06,HQ07,HQ08,HQ09,HQ10,HQ11,HQ12,HQ13,HQ14,HQ15,HQ16,HQ17,HQ18,HQ19,HQ20,HQ21,HQ22,HQ23,HQ24
16.5,1.5,6,1.5,2.5,1,0.5,0.5,1.5,0.5,1,0.5,0,1,4.5,4.5,4,0,0,0,0.5,0,0,0
0,20.5,5,9.5,0,0,0,0.5,30.5,6.5,1.5,36,13.5,24.5,18.5,26,4.5,3,5,3.5,2.5,5,9,1.5
